duration,x,y,text,n_weeks,measure
125,2019-07-05,125,+125,1,total
507,2019-07-12,382,+382,2,relative
1481,2019-07-19,974,+974,3,relative
542,2019-07-26,-939,-939,4,relative
763,2019-08-02,221,+221,5,relative
517,2019-08-09,-246,-246,6,relative
447,2019-08-16,-70,-70,7,relative
178,2019-08-23,-269,-269,8,relative
211,2019-08-30,33,+33,9,relative
327,2019-09-06,116,+116,10,relative
139,2019-09-13,-188,-188,11,relative
375,2019-09-20,236,+236,12,relative
532,2019-09-27,157,+157,13,relative
250,2019-10-04,-282,-282,14,relative
182,2019-10-11,-68,-68,15,relative
404,2019-10-18,222,+222,16,relative
296,2019-10-25,-108,-108,17,relative
578,2019-11-01,282,+282,18,relative
585,2019-11-08,7,+7,19,relative
396,2019-11-15,-189,-189,20,relative
777,2019-11-22,381,+381,21,relative
696,2019-11-29,-81,-81,22,relative
687,2019-12-06,-9,-9,23,relative
260,2019-12-13,-427,-427,24,relative
370,2019-12-20,110,+110,25,relative
576,2019-12-27,206,+206,26,relative
438,2020-01-03,-138,-138,27,relative
241,2020-01-10,-197,-197,28,relative
694,2020-01-17,453,+453,29,relative
211,2020-01-24,-483,-483,30,relative
609,2020-01-31,398,+398,31,relative
625,2020-02-07,16,+16,32,relative
1081,2020-02-14,456,+456,33,relative
1492,2020-02-21,411,+411,34,relative
1136,2020-02-28,-356,-356,35,relative
1083,2020-03-06,-53,-53,36,relative
995,2020-03-13,-88,-88,37,relative
791,2020-03-20,-204,-204,38,relative
1165,2020-03-27,374,+374,39,relative
2027,2020-04-03,862,+862,40,relative
1191,2020-04-10,-836,-836,41,relative
1043,2020-04-17,-148,-148,42,relative
1425,2020-04-24,382,+382,43,relative
795,2020-05-01,-630,-630,44,relative
750,2020-05-08,-45,-45,45,relative
563,2020-05-15,-187,-187,46,total
1244,2020-05-22,681,+681,47,relative
986,2020-05-29,-258,-258,48,relative
811,2020-06-05,-175,-175,49,relative
1384,2020-06-12,573,+573,50,relative
1035,2020-06-19,-349,-349,51,relative
1272,2020-06-26,237,+237,52,relative
990,2020-07-03,-282,-282,53,relative
853,2020-07-10,-137,-137,54,relative
738,2020-07-17,-115,-115,55,relative
675,2020-07-24,-63,-63,56,relative
1072,2020-07-31,397,+397,57,relative
929,2020-08-07,-143,-143,58,relative
1033,2020-08-14,104,+104,59,relative
434,2020-08-21,-599,-599,60,relative
370,2020-08-28,-64,-64,61,relative
388,2020-09-04,18,+18,62,relative
376,2020-09-11,-12,-12,63,relative
305,2020-09-18,-71,-71,64,relative
608,2020-09-25,303,+303,65,relative
169,2020-10-02,-439,-439,66,relative
404,2020-10-09,235,+235,67,relative
164,2020-10-16,-240,-240,68,relative
319,2020-10-23,155,+155,69,relative
336,2020-10-30,17,+17,70,relative
236,2020-11-06,-100,-100,71,relative
102,2020-11-13,-134,-134,72,relative
141,2020-11-20,39,+39,73,relative
437,2020-11-27,296,+296,74,relative
1126,2020-12-04,689,+689,75,relative
564,2020-12-11,-562,-562,76,relative
429,2020-12-18,-135,-135,77,relative
551,2020-12-25,122,+122,78,relative
536,2021-01-01,-15,-15,79,relative
301,2021-01-08,-235,-235,80,relative
323,2021-01-15,22,+22,81,relative
172,2021-01-22,-151,-151,82,relative
325,2021-01-29,153,+153,83,relative
366,2021-02-05,41,+41,84,relative
60,2021-02-12,-306,-306,85,relative
963,2021-02-19,903,+903,86,relative
533,2021-02-26,-430,-430,87,relative
520,2021-03-05,-13,-13,88,relative
434,2021-03-12,-86,-86,89,relative
170,2021-03-19,-264,-264,90,relative
297,2021-03-26,127,+127,91,total
329,2021-04-02,32,+32,92,relative
450,2021-04-09,121,+121,93,relative
548,2021-04-16,98,+98,94,relative
202,2021-04-23,-346,-346,95,relative
431,2021-04-30,229,+229,96,relative
164,2021-05-07,-267,-267,97,relative
345,2021-05-14,181,+181,98,relative
378,2021-05-21,33,+33,99,relative
407,2021-05-28,29,+29,100,relative
585,2021-06-04,178,+178,101,relative
150,2021-06-11,-435,-435,102,relative
261,2021-06-18,111,+111,103,relative
119,2021-06-25,-142,-142,104,relative
157,2021-07-02,38,+38,105,relative
197,2021-07-09,40,+40,106,relative
271,2021-07-16,74,+74,107,relative
328,2021-07-23,57,+57,108,relative
142,2021-07-30,-186,-186,109,relative
95,2021-08-06,-47,-47,110,relative
165,2021-08-13,70,+70,111,relative
162,2021-08-20,-3,-3,112,relative
322,2021-08-27,160,+160,113,relative
290,2021-09-03,-32,-32,114,relative
443,2021-09-10,153,+153,115,relative
130,2021-09-17,-313,-313,116,relative
408,2021-09-24,278,+278,117,relative
599,2021-10-01,191,+191,118,relative
787,2021-10-08,188,+188,119,relative
1375,2021-10-15,588,+588,120,relative
910,2021-10-22,-465,-465,121,relative
1219,2021-10-29,309,+309,122,relative
815,2021-11-05,-404,-404,123,relative
1261,2021-11-12,446,+446,124,relative
737,2021-11-19,-524,-524,125,relative
496,2021-11-26,-241,-241,126,relative
690,2021-12-03,194,+194,127,relative
524,2021-12-10,-166,-166,128,relative
179,2021-12-17,-345,-345,129,relative
323,2021-12-24,144,+144,130,relative
282,2021-12-31,-41,-41,131,relative
174,2022-01-07,-108,-108,132,relative
361,2022-01-14,187,+187,133,relative
370,2022-01-21,9,+9,134,relative
73,2022-01-28,-297,-297,135,relative
452,2022-02-04,379,+379,136,total
511,2022-02-11,59,+59,137,relative
838,2022-02-18,327,+327,138,relative
714,2022-02-25,-124,-124,139,relative
549,2022-03-04,-165,-165,140,relative
522,2022-03-11,-27,-27,141,relative
209,2022-03-18,-313,-313,142,relative
534,2022-03-25,325,+325,143,relative
607,2022-04-01,73,+73,144,relative
614,2022-04-08,7,+7,145,relative
76,2022-04-15,-538,-538,146,relative
211,2022-04-22,135,+135,147,relative
393,2022-04-29,182,+182,148,relative
30,2022-05-06,-363,-363,149,relative
6,2022-05-13,-24,-24,150,relative
212,2022-05-20,206,+206,151,relative
40,2022-05-27,-172,-172,152,relative
426,2022-06-03,386,+386,153,relative
380,2022-06-10,-46,-46,154,relative
648,2022-06-17,268,+268,155,relative
610,2022-06-24,-38,-38,156,relative
459,2022-07-01,-151,-151,157,relative
999,2022-07-08,540,+540,158,relative
449,2022-07-15,-550,-550,159,relative
1376,2022-07-22,927,+927,160,relative
1530,2022-07-29,154,+154,161,relative
1001,2022-08-05,-529,-529,162,relative
934,2022-08-12,-67,-67,163,relative
1957,2022-08-19,1023,+1023,164,relative
2634,2022-08-26,677,+677,165,relative
1850,2022-09-02,-784,-784,166,relative
2194,2022-09-09,344,+344,167,relative
1610,2022-09-16,-584,-584,168,relative
1609,2022-09-23,-1,-1,169,relative
815,2022-09-30,-794,-794,170,relative
693,2022-10-07,-122,-122,171,relative
416,2022-10-14,-277,-277,172,relative
584,2022-10-21,168,+168,173,relative
255,2022-10-28,-329,-329,174,relative
349,2022-11-04,94,+94,175,relative
245,2022-11-11,-104,-104,176,relative
404,2022-11-18,159,+159,177,relative
355,2022-11-25,-49,-49,178,relative
259,2022-12-02,-96,-96,179,relative
303,2022-12-09,44,+44,180,relative
114,2022-12-16,-189,-189,181,total
77,2022-12-23,-37,-37,182,relative
31,2022-12-30,-46,-46,183,relative
183,2023-01-06,152,+152,184,relative
108,2023-01-13,-75,-75,185,relative
34,2023-01-20,-74,-74,186,relative
1249,2023-01-27,1215,+1215,187,relative
739,2023-02-03,-510,-510,188,relative
27,2023-02-10,-712,-712,189,relative
204,2023-02-17,177,+177,190,relative
409,2023-02-24,205,+205,191,relative
523,2023-03-03,114,+114,192,relative
16,2023-03-10,-507,-507,193,relative
68,2023-03-17,52,+52,194,relative
610,2023-03-24,542,+542,195,relative
278,2023-03-31,-332,-332,196,relative
508,2023-04-07,230,+230,197,relative
831,2023-04-14,323,+323,198,relative
500,2023-04-21,-331,-331,199,relative
374,2023-04-28,-126,-126,200,relative
415,2023-05-05,41,+41,201,relative
559,2023-05-12,144,+144,202,relative
260,2023-05-19,-299,-299,203,relative
708,2023-05-26,448,+448,204,relative
13,2023-06-02,-695,-695,205,relative
76,2023-06-09,63,+63,206,relative
48,2023-06-16,-28,-28,207,relative
139,2023-06-23,91,+91,208,relative
157,2023-06-30,18,+18,209,relative
179,2023-07-07,22,+22,210,relative
417,2023-07-14,238,+238,211,relative
325,2023-07-21,-92,-92,212,relative
371,2023-07-28,46,+46,213,relative
172,2023-08-04,-199,-199,214,relative
269,2023-08-11,97,+97,215,relative
184,2023-08-18,-85,-85,216,relative
249,2023-08-25,65,+65,217,relative
236,2023-09-01,-13,-13,218,relative
226,2023-09-08,-10,-10,219,relative
315,2023-09-15,89,+89,220,relative
40,2023-09-22,-275,-275,221,relative
358,2023-09-29,318,+318,222,relative
232,2023-10-06,-126,-126,223,relative
280,2023-10-13,48,+48,224,relative
399,2023-10-20,119,+119,225,relative
360,2023-10-27,-39,-39,226,total
439,2023-11-03,79,+79,227,relative
838,2023-11-10,399,+399,228,relative
1198,2023-11-17,360,+360,229,relative
954,2023-11-24,-244,-244,230,relative
1106,2023-12-01,152,+152,231,relative
453,2023-12-08,-653,-653,232,relative
334,2023-12-15,-119,-119,233,relative
259,2023-12-22,-75,-75,234,relative
13,2023-12-29,-246,-246,235,relative
199,2024-01-05,186,+186,236,relative
756,2024-01-12,557,+557,237,relative
208,2024-01-19,-548,-548,238,relative
451,2024-01-26,243,+243,239,relative
515,2024-02-02,64,+64,240,relative
214,2024-02-09,-301,-301,241,relative
313,2024-02-16,99,+99,242,relative
319,2024-02-23,6,+6,243,relative
547,2024-03-01,228,+228,244,relative
1036,2024-03-08,489,+489,245,relative
1407,2024-03-15,371,+371,246,relative
899,2024-03-22,-508,-508,247,relative
880,2024-03-29,-19,-19,248,relative
1092,2024-04-05,212,+212,249,relative
407,2024-04-12,-685,-685,250,relative
1976,2024-04-19,1569,+1569,251,relative
2034,2024-04-26,58,+58,252,relative
1606,2024-05-03,-428,-428,253,relative
2435,2024-05-10,829,+829,254,relative
2678,2024-05-17,243,+243,255,relative
2159,2024-05-24,-519,-519,256,relative
2303,2024-05-31,144,+144,257,relative
2241,2024-06-07,-62,-62,258,relative
987,2024-06-14,-1254,-1254,259,relative
1409,2024-06-21,422,+422,260,relative
1251,2024-06-28,-158,-158,261,relative
489,2024-07-05,-762,-762,262,relative
346,2024-07-12,-143,-143,263,relative
301,2024-07-19,-45,-45,264,relative
406,2024-07-26,105,+105,265,relative
629,2024-08-02,223,+223,266,relative
876,2024-08-09,247,+247,267,relative
1231,2024-08-16,355,+355,268,relative
1939,2024-08-23,708,+708,269,relative
767,2024-08-30,-1172,-1172,270,total
